Country,ISO,Population (millions)
China,156,1441
India,356,1393
United States,840,331
Indonesia,360,273
Pakistan,586,225
Brazil,76,213
Nigeria,566,206
Bangladesh,50,166
Russia,643,146
Mexico,484,126
Japan,392,126
Ethiopia,231,114
Philippines,608,113
Egypt,818,102
Vietnam,704,98
DR Congo,180,89
Turkey,792,84
Iran,364,83
Germany,276,83
Thailand,764,70
United Kingdom,826,68
France,250,65
Italy,380,60
Tanzania,834,59
South Africa,710,59
Myanmar,104,54
Kenya,404,53
South Korea,410,52
Colombia,170,51
Spain,724,47
Uganda,800,46
Argentina,32,45
Algeria,12,44
Sudan,729,44
Iraq,368,40
Afghanistan,4,39
Poland,616,38
Canada,124,38
Saudi Arabia,682,34
Uzbekistan,860,34
Malaysia,458,32
Angola,24,32
Mozambique,508,31
Ghana,288,31
Yemen,887,30
Nepal,524,30
Venezuela,862,28
Madagascar,450,28
Cameroon,120,27
Ivory Coast,384,26
Niger,562,25
Burkina Faso,854,21
Mali,466,20
Romania,642,19
Malawi,454,19
